ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,СЕРЕДНЯ ЦІНА,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,МЕДІАННА ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ В НАПРЯМКУ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЗАГАЛЬНИЙ VALUE SCORE,СЕРЕДНІЙ VALUE SCORE ПО РИНКУ,ВІДХИЛЕННЯ VALUE ВІД РИНКУ,ПОЗИЦІОНУВАННЯ,КІЛЬКІСТЬ ТУРІВ В НАПРЯМКУ,КІЛЬКІСТЬ ТУРІВ EUROTRIPS,КІЛЬКІСТЬ КОНКУРЕНТНИХ ТУРІВ,ЧАСТКА EUROTRIPS,ЧАСТКА КОНКУРЕНТІВ
EUR-27,Пікнік в Альпах + Гальштат,EUROTRIPS,Eurotrips,Австрія,159,210,199,-51,-40,"-20,10%",10,64,"0,65","0,63",1%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
EUR-28,Прага-Відень-Будапешт,EUROTRIPS,Eurotrips,Чехія,199,204,199,-5,0,"0,00%",11,104,"0,86","0,68",18%,РИНКОВА ЦІНА,22,3,19,"0,14","0,86"
EUR-29,Римські канікули,EUROTRIPS,Eurotrips,Італія,279,340,338,-61,-59,"-17,39%",37,140,"0,62","0,63",-1%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
EUR-30,Різдвяний вікенд у Кракові БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,129,189,147,-60,-18,"-12,24%",3,30,"0,73","0,60",13%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
EUR-31,Скандинавія + Язик Троля,EUROTRIPS,Eurotrips,Норвегія,589,527,538,62,51,"9,48%",8,204,"0,68","0,69",-1%,РИНКОВА ЦІНА,9,1,8,"0,11","0,89"
EUR-32,Сонце Море Барселона,EUROTRIPS,Eurotrips,Іспанія,579,538,505,41,75,"14,77%",15,237,"0,54","0,64",-9%,РИНКОВА ЦІНА,22,2,20,"0,09","0,91"
EUR-33,Сонячна Греція: Simeon,EUROTRIPS,Eurotrips,Греція,594,420,407,174,188,"46,13%",26,389,"0,41","0,54",-13%,ДОРОГИЙ,28,2,26,"0,07","0,93"
EUR-34,Сонячна Греція: Asteris Village,EUROTRIPS,Eurotrips,Греція,369,420,407,-51,-38,"-9,23%",13,164,"0,61","0,54",7%,РИНКОВА ЦІНА,28,2,26,"0,07","0,93"
EUR-35,Стамбул,EUROTRIPS,Eurotrips,Туреччина,184,184,184,0,0,"0,00%",1,0,"0,68","0,68",0%,РИНКОВА ЦІНА,1,1,0,"1,00","0,00"
EUR-36,Вікенд у Будапешті + Відень,EUROTRIPS,Eurotrips,Австрія,109,210,199,-101,-90,"-45,23%",3,14,"0,53","0,63",-10%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
EUR-37,Хелловін у Трансильванії + Бухарест,EUROTRIPS,Eurotrips,Румунія,129,167,160,-38,-31,"-19,38%",3,30,"0,63","0,68",-5%,ДЕШЕВИЙ,21,3,18,"0,14","0,86"
EUR-38,Чорногорія: де море торкається гір,EUROTRIPS,Eurotrips,Чорногорія,404,364,369,40,35,"9,49%",9,153,"0,60","0,63",-3%,РИНКОВА ЦІНА,13,1,12,"0,08","0,92"
EUR-39,Швейцарія,EUROTRIPS,Eurotrips,Швейцарія,244,333,334,-89,-90,"-26,84%",4,56,"0,70","0,74",-4%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ACC-1,Амурний тиждень в Амстердамі і Парижі!!!,COMPETITOR,Accord tour,Нідерланди,383,349,348,34,36,"10,22%",22,188,"0,79","0,70",9%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-2,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",COMPETITOR,Accord tour,Франція,493,366,352,127,141,"40,06%",67,296,"0,56","0,70",-14%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-3,Мільйон посмішок... або 4 дні в Амстердамі!,COMPETITOR,Accord tour,Нідерланди,470,349,348,121,123,"35,25%",30,275,"0,64","0,70",-6%,ДОРОГИЙ,32,1,31,"0,03","0,97"
ACC-4,"Вояж в Париж  Нормандія, Замки Луари + Люксембург",COMPETITOR,Accord tour,Франція,410,366,352,43,58,"16,34%",49,212,"0,81","0,70",10%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-5,"Париж, квіти..... і Компліменти!  Амстердам, Брюссель, Париж, Люксембург, Кельн",COMPETITOR,Accord tour,Франція,582,366,352,216,230,"65,34%",70,385,"0,58","0,70",-12%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-6,Три дні в Парижі + Діснейленд,COMPETITOR,Accord tour,Франція,283,366,352,-83,-69,"-19,60%",18,86,"0,70","0,70",0%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-7,Амурні пригоди в Амстердамі і Парижі!!!,COMPETITOR,Accord tour,Нідерланди,377,349,348,28,30,"8,49%",21,182,"0,80","0,70",10%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-8,Амстердам та Париж... запалив та привабив...,COMPETITOR,Accord tour,Нідерланди,326,349,348,-23,-22,"-6,33%",13,131,"0,74","0,70",4%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-9,"Яскравий Бенілюкс: Нідерланди, Бельгія та Люксембург!",COMPETITOR,Accord tour,Бельгія,442,376,367,66,76,"20,60%",4,113,"0,70","0,75",-5%,ДОРОГИЙ,4,0,4,"0,00","1,00"
ACC-10,"Французький Каприз   4 дні в Парижі + Нормандія, долина Луари, Мон-Сен-Мішель!",COMPETITOR,Accord tour,Франція,417,366,352,50,65,"18,32%",50,219,"0,80","0,70",9%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-11,"Вітаю, милий Амстердам!",COMPETITOR,Accord tour,Нідерланди,423,349,348,74,75,"21,58%",25,228,"0,70","0,70",1%,ДОРОГИЙ,32,1,31,"0,03","0,97"
ACC-12,"Бонжур Лямур або 3 дні в Парижі! ...Париж, Діснейленд та Люксембург...",COMPETITOR,Accord tour,Франція,374,366,352,8,22,"6,25%",38,177,"0,81","0,70",11%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-13,Любовне зізнання: Відень + Прага!,COMPETITOR,Accord tour,Чехія,245,204,199,41,46,"23,12%",18,150,"0,69","0,68",1%,ДОРОГИЙ,22,3,19,"0,14","0,86"
ACC-14,"Бонжорно, Італія + Швейцарія!",COMPETITOR,Accord tour,Італія,367,340,338,27,29,"8,51%",69,228,"0,83","0,63",20%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-15,"Дивовижний світ  4 дні в Швейцарії Женева, Берн, Люцерн + Монблан",COMPETITOR,Accord tour,Швейцарія,383,333,334,49,49,"14,69%",21,195,"0,80","0,74",6%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ACC-16,Святкова Прага!!! Виїзд з Києва,COMPETITOR,Accord tour,Чехія,244,204,199,40,45,"22,61%",17,149,"0,65","0,68",-3%,ДОРОГИЙ,22,3,19,"0,14","0,86"
ACC-17,Прикольними містами: Дрезден + Прага + Брно + Краків!!!,COMPETITOR,Accord tour,Чехія,199,204,199,-6,-1,"-0,25%",10,104,"0,85","0,68",17%,РИНКОВА ЦІНА,22,3,19,"0,14","0,86"
ACC-18,"Мюнхен і компанія: Краків, Прага, Відень!",COMPETITOR,Accord tour,Німеччина,244,238,237,6,7,"2,85%",11,125,"0,81","0,70",11%,РИНКОВА ЦІНА,18,0,18,"0,00","1,00"
ACC-19,"Душевний Вікенд   Краків, Прага, Відень, Будапешт + Егер ",COMPETITOR,Accord tour,Австрія,164,210,199,-46,-36,"-17,84%",12,69,"0,75","0,63",11%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
ACC-20,"Відень, я вже їду!",COMPETITOR,Accord tour,Австрія,201,210,199,-9,2,"1,01%",21,106,"0,79","0,63",16%,РИНКОВА ЦІНА,39,3,36,"0,08","0,92"
ACC-21,Французька для початківців  Париж+ Діснейленд,COMPETITOR,Accord tour,Франція,240,366,352,-126,-112,"-31,82%",5,43,"0,64","0,70",-6%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-22,"Вікенд на трьох!  Краків, Відень, Будапешт",COMPETITOR,Accord tour,Польща,168,189,147,-21,21,"14,29%",11,69,"0,76","0,60",16%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
ACC-23,Секрети смаку: вся Швейцарія + Зальцбург та Відень!!!,COMPETITOR,Accord tour,Швейцарія,369,333,334,36,36,"10,64%",19,181,"0,79","0,74",5%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ACC-24,"Альпійська симфонія   Цюрих, Женева, Берн + Монблан",COMPETITOR,Accord tour,Швейцарія,386,333,334,52,52,"15,59%",23,198,"0,80","0,74",5%,ДОРОГИЙ,29,1,28,"0,03","0,97"
ACC-25,"В гостях у Швейцарії   Цюрих, Женева, Берн + Монблан",COMPETITOR,Accord tour,Швейцарія,433,333,334,99,99,"29,69%",26,245,"0,77","0,74",3%,ДОРОГИЙ,29,1,28,"0,03","0,97"
ACC-26,Празький вогник!,COMPETITOR,Accord tour,Чехія,266,204,199,62,67,"33,67%",20,171,"0,64","0,68",-4%,ДОРОГИЙ,22,3,19,"0,14","0,86"
ACC-27,Вікенд в Краків!,COMPETITOR,Accord tour,Польща,140,189,147,-49,-8,"-5,10%",7,41,"0,75","0,60",15%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
ACC-28,Барселона – Королева Півдня,COMPETITOR,Accord tour,Іспанія,374,538,505,-164,-131,"-25,87%",2,32,"0,70","0,64",6%,ДЕШЕВИЙ,22,2,20,"0,09","0,91"
ACC-29,Сонячний поцілунок Барселони,COMPETITOR,Accord tour,Іспанія,342,538,505,-196,-163,"-32,21%",1,0,"0,60","0,64",-3%,ДЕШЕВИЙ,22,2,20,"0,09","0,91"
ACC-30,"Шедеври Франції  Етрета, Мон Сан Мішель, Замки Луари",COMPETITOR,Accord tour,Франція,441,366,352,75,89,"25,28%",55,244,"0,76","0,70",6%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-31,"Все, про що мрію, — це Париж! Je t'aime, mon cher Paris!",COMPETITOR,Accord tour,Франція,485,366,352,119,133,"37,78%",65,288,"0,72","0,70",2%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-32,Краківський Вояж!,COMPETITOR,Accord tour,Польща,123,189,147,-66,-24,"-16,33%",2,24,"0,71","0,60",11%,ДЕШЕВИЙ,16,4,12,"0,25","0,75"
ACC-33,Вікенд в Берліні!,COMPETITOR,Accord tour,Німеччина,149,238,237,-89,-88,"-37,20%",2,30,"0,55","0,70",-16%,ДЕШЕВИЙ,18,0,18,"0,00","1,00"
ACC-34,Кастаньєти іспанського серця  3 дні в Барселоні,COMPETITOR,Accord tour,Іспанія,520,538,505,-18,16,"3,07%",12,178,"0,82","0,64",19%,РИНКОВА ЦІНА,22,2,20,"0,09","0,91"
ACC-35,"Закохані в Париж Діснейленд, Нормандія + Страсбург...",COMPETITOR,Accord tour,Франція,243,366,352,-124,-110,"-31,11%",6,45,"0,68","0,70",-2%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-36,Апельсиновий рай  відпочинок на морі Іспанії та Франції + Швейцарія!!!,COMPETITOR,Accord tour,Іспанія,459,538,505,-79,-46,"-9,02%",9,117,"0,74","0,64",10%,РИНКОВА ЦІНА,22,2,20,"0,09","0,91"
ACC-37,Пристрасть по-іспанськи! Відпочинок на морі!,COMPETITOR,Accord tour,Іспанія,581,538,505,43,77,"15,16%",16,239,"0,76","0,64",13%,ДОРОГИЙ,22,2,20,"0,09","0,91"
ACC-38,"Романтичний Париж!   Страсбург, Кольмар, Нюрнберг",COMPETITOR,Accord tour,Франція,383,366,352,16,31,"8,66%",40,185,"0,83","0,70",12%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-39,"Атмосфера свята  Франція та Швейцарія  Париж, Цюріх, Люцерн",COMPETITOR,Accord tour,Франція,342,366,352,-25,-11,"-2,98%",30,144,"0,84","0,70",14%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-40,"Розкішна подорож  Франція та Швейцарія  Париж, Нормандія, Берн, Цюріх, Люцерн",COMPETITOR,Accord tour,Швейцарія,389,333,334,56,56,"16,64%",24,201,"0,79","0,74",5%,ДОРОГИЙ,29,1,28,"0,03","0,97"
ACC-41,Іспанська сієста... Відпочинок на морі!,COMPETITOR,Accord tour,Іспанія,556,538,505,18,52,"10,21%",13,214,"0,69","0,64",5%,РИНКОВА ЦІНА,22,2,20,"0,09","0,91"
ACC-42,"Любов і голуби… Париж, Франкфурт, Дрезден і Прага!!!",COMPETITOR,Accord tour,Франція,333,366,352,-34,-20,"-5,54%",27,135,"0,80","0,70",10%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-43,Французький настрій в Парижі та Діснейленді!,COMPETITOR,Accord tour,Франція,263,366,352,-103,-89,"-25,28%",11,66,"0,70","0,70",-1%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-44,В Привабливому Парижі + Мюнхен та Діснейленд!!!,COMPETITOR,Accord tour,Франція,265,366,352,-101,-87,"-24,72%",12,68,"0,66","0,70",-4%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-45,Казкова Прага + Дрезден,COMPETITOR,Accord tour,Чехія,164,204,199,-41,-36,"-17,84%",6,69,"0,76","0,68",8%,ДЕШЕВИЙ,22,3,19,"0,14","0,86"
ACC-46,Маленька французька подорож Париж та Діснейленд,COMPETITOR,Accord tour,Франція,198,366,352,-169,-155,"-43,89%",1,0,"0,61","0,70",-9%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-47,В повному шоколаді... або 2 дні в Швейцарії!,COMPETITOR,Accord tour,Швейцарія,311,333,334,-23,-23,"-6,90%",13,123,"0,83","0,74",9%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ACC-48,В полоні Парижа  Діснейленд + Ельзас+ Швейцарія,COMPETITOR,Accord tour,Франція,272,366,352,-94,-80,"-22,73%",15,75,"0,70","0,70",0%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-49,"Фантастична четвірка: Амстердам, Брюссель, Люксембург та Берлін!",COMPETITOR,Accord tour,Нідерланди,342,349,348,-7,-6,"-1,58%",16,147,"0,81","0,70",11%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-50,Бельгія для гурманів або 2 дні в Брюсселі!,COMPETITOR,Accord tour,Бельгія,364,376,367,-12,-3,"-0,68%",2,35,"0,81","0,75",5%,РИНКОВА ЦІНА,4,0,4,"0,00","1,00"
ACC-51,"Лайк там, де Амстердам!",COMPETITOR,Accord tour,Нідерланди,208,349,348,-141,-140,"-40,14%",2,13,"0,55","0,70",-15%,ДЕШЕВИЙ,32,1,31,"0,03","0,97"
ACC-52,"Вікенд в Швейцарію або Фондю для двох!  Берн, Цюріх, Люцерн, Інтерлакен, Гріндельвальд",COMPETITOR,Accord tour,Швейцарія,306,333,334,-27,-28,"-8,25%",12,118,"0,76","0,74",2%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ACC-53,"Зустрінемось в Амстердамі + парк ""Кекенхоф"" і парк розваг Ефтелінг!!!",COMPETITOR,Accord tour,Нідерланди,359,349,348,10,12,"3,31%",19,164,"0,80","0,70",10%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-54,"Магія Парижа  Діснейленд, замок Нойшвайнштайн, долина Вахау",COMPETITOR,Accord tour,Франція,350,366,352,-16,-2,"-0,57%",32,153,"0,77","0,70",6%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-55,"Вихідні в Словаччині   Термали, гори і релакс...",COMPETITOR,Accord tour,Словаччина,204,204,204,0,0,"0,00%",1,0,"0,80","0,80",0%,РИНКОВА ЦІНА,1,0,1,"0,00","1,00"
ACC-56,"Відпочинок на висоті Швейцарія, Баварія, Австрія  Острів Майнау, Замок Нойшвайнштайн, Світ Сваровскі...",COMPETITOR,Accord tour,Швейцарія,374,333,334,40,40,"11,99%",20,186,"0,81","0,74",7%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ACC-57,"Мої найкращі друзі    Амстердам, Брюсель, Париж",COMPETITOR,Accord tour,Нідерланди,426,349,348,77,79,"22,59%",26,231,"0,78","0,70",8%,ДОРОГИЙ,32,1,31,"0,03","0,97"
ACC-58,"Дефіле для романтиків: Прага, Мілан, Венеція",COMPETITOR,Accord tour,Італія,230,340,338,-110,-108,"-32,05%",24,91,"0,62","0,63",-1%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-59,Знайомство з Казанова! Відень+Верона+Венеція,COMPETITOR,Accord tour,Італія,284,340,338,-56,-54,"-16,06%",38,145,"0,74","0,63",11%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-60,"Коротке побачення в Італії: Верона, Мілан, Венеція",COMPETITOR,Accord tour,Італія,343,340,338,3,5,"1,41%",55,204,"0,81","0,63",18%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-61,Солодкий круасан - Париж,COMPETITOR,Accord tour,Франція,238,366,352,-129,-115,"-32,53%",4,40,"0,64","0,70",-6%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-62,"Happy days або 5 столиць!!! ...Берлін, Прага, Відень, Будапешт та Варшава...",COMPETITOR,Accord tour,Німеччина,236,238,237,-3,-2,"-0,74%",9,117,"0,78","0,70",8%,РИНКОВА ЦІНА,18,0,18,"0,00","1,00"
ACC-63,"Французький реверанс  Париж, Нормандія, Мон-Сен-Мішель, Аквітанія, Замки Луари, Ельзас",COMPETITOR,Accord tour,Франція,628,366,352,261,276,"78,27%",71,430,"0,56","0,70",-14%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-64,"Яскраві нотки Італії: 2 дні в Римі + Флоренція, Венеція",COMPETITOR,Accord tour,Італія,292,340,338,-48,-46,"-13,69%",40,153,"0,67","0,63",4%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-65,"Сто причин любити Італію, і перша - Рим! Флоренція + Венеція!",COMPETITOR,Accord tour,Італія,459,340,338,119,121,"35,75%",88,320,"0,69","0,63",6%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-66,"Моя Португалія  Лісабон, Порту, Сінтра, Мадрид, Барселона, Ніцца, Монако!",COMPETITOR,Accord tour,Португалія,546,744,814,-199,-269,"-32,99%",1,0,"0,56","0,74",-18%,ДЕШЕВИЙ,3,0,3,"0,00","1,00"
ACC-67,"Швейцарський вікенд + Баварія Цюріх, Люцерн + Мюнхен та Відень",COMPETITOR,Accord tour,Швейцарія,188,333,334,-145,-146,"-43,63%",1,0,"0,60","0,74",-14%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ACC-68,Мій Італійський вікенд: Венеція+Верона,COMPETITOR,Accord tour,Італія,158,340,338,-182,-180,"-53,22%",5,19,"0,48","0,63",-15%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-69,Вікенд в Доломітах: озеро Блед+озеро Мольвено+Венеція,COMPETITOR,Accord tour,Італія,221,340,338,-119,-117,"-34,57%",20,82,"0,65","0,63",2%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-70,Заряд бадьорості: Доломітові Альпи+Адріатичне море Італії,COMPETITOR,Accord tour,Італія,314,340,338,-26,-24,"-7,18%",48,175,"0,76","0,63",13%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-71,Знайомтесь - Німеччина: Берлін + Потсдам + Дрезден + Саксонська Швейцарія,COMPETITOR,Accord tour,Німеччина,212,238,237,-27,-26,"-10,85%",7,93,"0,75","0,70",5%,РИНКОВА ЦІНА,18,0,18,"0,00","1,00"
ACC-72,"Кращі коліжанки Чеського королівства + SPA релакс  Прага, Дрезден, Карлові Вари",COMPETITOR,Accord tour,Чехія,234,204,199,29,35,"17,34%",16,139,"0,76","0,68",8%,ДОРОГИЙ,22,3,19,"0,14","0,86"
ACC-73,"Вихідні в Італії  Флоренція, Рим, Венеція",COMPETITOR,Accord tour,Італія,248,340,338,-92,-90,"-26,57%",29,109,"0,67","0,63",4%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-74,Особливий вікенд: Любляна + Венеція,COMPETITOR,Accord tour,Італія,231,340,338,-109,-107,"-31,75%",25,92,"0,71","0,63",7%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
