ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,ВСІ НАПРЯМКИ,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,СЕРЕДНЯ ЦІНА,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,НОЧЕЙ В ГОТЕЛЯХ,СІЧЕНЬ,ЛЮТИЙ,БЕРЕЗЕНЬ,КВІТЕНЬ,ТРАВЕНЬ,ЧЕРВЕНЬ,ЛИПЕНЬ,СЕРПЕНЬ,ВЕРЕСЕНЬ,ЖОВТЕНЬ,ЛИСТОПАД,ГРУДЕНЬ,ВИЇЗДІВ НА РІК,АКТИВНИХ МІСЯЦІВ,ПІКОВІ МІСЯЦІ,ПІКОВИЙ МІСЯЦЬ,ТИП СЕЗОННОСТІ,СЕЗОННІСТЬ,БЕЗ НІЧНИХ ПЕРЕЇЗДІВ,КІЛЬКІСТЬ ЗУПИНОК ПО СИГНАТУРІ МАРШРУТУ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,УНІКАЛЬНІ ЗУПИНКИ,УНІКАЛЬНІ МІСТА,УНІКАЛЬНІ КРАЇНИ,СКЛАДНІСТЬ МАРШРУТУ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК
ACC-148,Захоплюючий вікенд… + Трансфегераш,COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Стандарт 150 - 300,178,3,0,3,2,0,0,0,1,3,3,4,5,3,5,3,4,31,9,"СЕРПЕНЬ, ЖОВТЕНЬ, ЛИПЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,9,1,2,0,1,1,1,"0,1","0,33","0,33",0
ACC-149,Побачення з вампіром!!! Бухарест+Брашов,COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Економ 99 - 150,"133,5",4,2,2,1,0,0,0,1,4,3,3,2,4,2,2,3,24,9,"ТРАВЕНЬ, ВЕРЕСЕНЬ, ЧЕРВЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,4,1,3,0,1,1,1,"0,1","0,25","0,25",0
ACC-150,"Там, де сонце торкається гірських вершин…",COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Стандарт 150 - 300,267,5,0,2,4,0,0,0,,1,2,1,2,2,2,2,1,13,8,"ЧЕРВЕНЬ, СЕРПЕНЬ, ВЕРЕСЕНЬ",ЧЕРВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,5,1,2,0,1,1,1,"0,1","0,20","0,20",0
ACC-151,Вікенд з родзинкою… Замок Корвінів + Турда!,COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Стандарт 150 - 300,"163,5",3,0,2,2,0,0,0,2,3,2,2,2,3,4,2,3,23,9,"ЖОВТЕНЬ, ТРАВЕНЬ, ВЕРЕСЕНЬ",ЖОВТЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,10,0,0,0,1,1,1,"0,1","0,33","0,33",0
ACC-152,У компанії з морем: Відпочинок на Егейському узбережжі,COMPETITOR,Accord tour,Греція,Греція,морський,Стандарт 150 - 300,"251,5",6,2,0,3,0,0,0,,6,5,6,5,5,,,,27,5,"ТРАВЕНЬ, ЛИПЕНЬ, ЧЕРВЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,8,1,1,2,1,1,1,"0,1","0,17","0,17","0,25"
ACC-153,"Посмішка Кармен! Любляна, Мілан, Барселона, Ніцца та Венеція!",COMPETITOR,Accord tour,Іспанія,Іспанія,екскурсійний,Тяжкий Люкс 400 +,"443,5",8,2,7,5,0,0,0,,1,2,2,1,2,1,,,9,6,"ЧЕРВЕНЬ, ЛИПЕНЬ, ВЕРЕСЕНЬ",ЧЕРВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,11,6,8,1,1,1,1,"0,1","0,13","0,13","0,09090909091"
ACC-154,Моя гірська симфонія...,COMPETITOR,Accord tour,Греція,"Греція, Болгарія",екскурсійний,Стандарт 150 - 300,302,6,0,4,5,0,0,0,2,3,3,3,3,2,3,3,4,26,9,"ГРУДЕНЬ, ТРАВЕНЬ, ЧЕРВЕНЬ",ГРУДЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,9,4,5,1,1,1,1,"0,1","0,17","0,17","0,1111111111"
ACC-155,"Таємничий вікенд... Невермор, Дракула, Бухарест...",COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Стандарт 150 - 300,"241,5",4,0,2,3,0,0,0,1,5,3,4,3,3,5,4,3,31,9,"ТРАВЕНЬ, ЖОВТЕНЬ, ЛИПЕНЬ",ТРАВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,10,1,3,0,1,1,1,"0,1","0,25","0,25",0
ACC-156,Солодкі дотики моря... Греція! Відпочинок на Егейському морі!,COMPETITOR,Accord tour,Греція,Греція,морський,Люкс 300 - 400,419,10,2,0,7,0,0,0,,2,4,5,4,4,5,,,24,6,"ЛИПЕНЬ, ЖОВТЕНЬ, ЧЕРВЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,☀️ ЛІТО,FALSE,13,1,2,2,1,1,1,"0,1","0,10","0,10","0,1538461538"
ACC-157,Сонячна розкіш Чорногорія + Хорватія Відпочинок на морі в Чорногорії,COMPETITOR,Accord tour,Чорногорія,Чорногорія,морський,Тяжкий Люкс 400 +,423,11,0,2,10,0,0,0,,1,4,5,4,5,4,,,23,6,"ЛИПЕНЬ, ВЕРЕСЕНЬ, ЧЕРВЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,☀️ ЛІТО,TRUE,14,3,4,2,1,1,1,"0,1","0,09","0,09","0,1428571429"
