,,,,,,,,,
ACC-2,Франція,15,0,0,1,"0,5591604824",OVERLOADED,REVIEW,Перевірити вручну
ACC-20,Австрія,5,0,0,0,"0,7934288791",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-21,Франція,11,0,0,0,"0,644427953",BALANCED,REVIEW,Перевірити вручну
ACC-22,Польща,4,0,0,0,"0,7619047619",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-23,Швейцарія,14,0,0,1,"0,7926982573",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-24,Швейцарія,13,0,0,0,"0,7966690853",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-25,Швейцарія,13,0,0,0,"0,7709277377",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-26,Чехія,8,0,0,0,"0,6367552046",BALANCED,REVIEW,Перевірити вручну
ACC-27,Польща,5,0,0,0,"0,7513605442",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-28,Іспанія,13,0,0,1,"0,6961230558",OVERLOADED,REVIEW,Перевірити вручну
ACC-29,Іспанія,11,0,0,1,"0,603914666",BALANCED,REVIEW,Перевірити вручну
ACC-3,Нідерланди,14,0,0,0,"0,6390948466",OVERLOADED,REVIEW,Перевірити вручну
ACC-30,Франція,14,0,0,0,"0,7613636364",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-31,Франція,11,0,0,1,"0,7166640899",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-32,Польща,3,0,0,0,"0,7091836735",THIN,KEEP,"Маршрут сильний, змін не треба"
ACC-33,Німеччина,4,0,0,0,"0,5451913937",BALANCED,REVIEW,Перевірити вручну
ACC-34,Іспанія,15,0,0,1,"0,8215881556",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-35,Франція,8,0,0,0,"0,6797518553",BALANCED,REVIEW,Перевірити вручну
ACC-36,Іспанія,15,0,0,1,"0,7353986008",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-37,Іспанія,17,0,0,1,"0,7607744584",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-38,Франція,10,0,0,0,"0,8252534455",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-39,Франція,9,0,0,0,"0,8385783859",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-4,Франція,8,0,0,1,"0,8051948052",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-40,Швейцарія,11,0,0,0,"0,7914507761",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-41,Іспанія,16,0,0,1,"0,6851044128",OVERLOADED,REVIEW,Перевірити вручну
ACC-42,Франція,8,0,0,0,"0,7980790043",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-43,Франція,9,0,0,0,"0,6960745207",BALANCED,REVIEW,Перевірити вручну
ACC-44,Франція,5,0,0,0,"0,6643336425",BALANCED,REVIEW,Перевірити вручну
ACC-45,Чехія,2,0,0,0,"0,7552248487",THIN,KEEP,"Маршрут сильний, змін не треба"
ACC-46,Франція,11,0,0,1,"0,6105882808",BALANCED,REVIEW,Перевірити вручну
ACC-47,Швейцарія,11,0,0,0,"0,8334682149",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-48,Франція,9,0,0,0,"0,703240569",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-49,Нідерланди,11,0,0,1,"0,8106758675",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-5,Франція,16,0,0,1,"0,5798608534",OVERLOADED,REVIEW,Перевірити вручну
ACC-50,Бельгія,12,0,0,0,"0,8067952966",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-51,Нідерланди,9,0,0,0,"0,5533020115",BALANCED,REVIEW,Перевірити вручну
ACC-52,Швейцарія,9,0,0,0,"0,7621185326",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-53,Нідерланди,8,0,0,0,"0,7979870797",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-54,Франція,10,0,0,0,"0,7653463203",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-55,Словаччина,8,0,0,0,"0,7959183673",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-56,Швейцарія,12,0,0,0,"0,8145604312",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-57,Нідерланди,12,0,0,1,"0,7759668184",OVERLOADED,KEEP,"Маршрут сильний, змін не треба"
ACC-58,Італія,7,0,0,0,"0,6181251983",BALANCED,REVIEW,Перевірити вручну
ACC-59,Італія,8,0,0,0,"0,7400370096",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-6,Франція,9,0,0,0,"0,7019407633",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-60,Італія,7,0,0,0,"0,8112112721",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-61,Франція,8,0,0,0,"0,642437384",BALANCED,REVIEW,Перевірити вручну
ACC-62,Німеччина,5,0,0,0,"0,7809270768",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-63,Франція,17,0,0,0,"0,5588705937",OVERLOADED,REVIEW,Перевірити вручну
ACC-64,Італія,6,0,0,1,"0,6660760988",BALANCED,REVIEW,Перевірити вручну
ACC-65,Італія,18,0,0,1,"0,6900305329",OVERLOADED,REVIEW,Перевірити вручну
ACC-66,Португалія,19,0,0,1,"0,5559439402",OVERLOADED,REVIEW,Перевірити вручну
ACC-67,Швейцарія,7,0,0,0,"0,599568889",BALANCED,REVIEW,Перевірити вручну
ACC-68,Італія,7,0,0,0,"0,4765084065",BALANCED,REVIEW,Перевірити вручну
ACC-69,Італія,9,0,0,0,"0,6515279687",BALANCED,REVIEW,Перевірити вручну
ACC-7,Нідерланди,9,0,0,0,"0,7989877719",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-70,Італія,11,0,0,0,"0,7646478799",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-71,Німеччина,6,0,0,0,"0,7486777166",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-72,Чехія,7,0,0,0,"0,7553471439",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-73,Італія,6,0,0,1,"0,6724838744",BALANCED,REVIEW,Перевірити вручну
ACC-74,Італія,7,0,0,0,"0,7053809348",BALANCED,KEEP,"Маршрут сильний, змін не треба"
ACC-75,Італія,5,0,0,1,"0,635588453",BALANCED,REVIEW,Перевірити вручну
ACC-76,Греція,16,0,0,0,"0,6789871853",OVERLOADED,REVIEW,Перевірити вручну
ACC-77,Австрія,4,0,0,0,"0,6875376884",BALANCED,REVIEW,Перевірити вручну
