ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,СЕРЕДНЯ ЦІНА,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,ЦІНА ЗА ДЕНЬ,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,МЕДІАННА ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ В НАПРЯМКУ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЗАГАЛЬНИЙ VALUE SCORE,ОЦІНКА ЦІНИ,ОЦІНКА ЕКСКУРСІЙ,ОЦІНКА КОМФОРТУ,СЕЗОННІСТЬ,ШТРАФ ЗА НІЧНІ ПЕРЕЇЗДИ,ІНТЕНСИВНІСТЬ ПОДОРОЖІ,СКЛАДНІСТЬ МАРШРУТУ,РІЗНОМАНІТНІСТЬ КРАЇН,КІЛЬКІСТЬ ЗУПИНОК ПО МАРШРУТУ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК,ЦІННІСТЬ МАРШРУТУ,ЕФЕКТИВНІСТЬ МАРШРУТУ,ПЕРЕВАНТАЖЕНИЙ МАРШРУТ,ПОРОЖНІЙ МАРШРУТ
EUR-13,Канікули в Барселоні,EUROTRIPS,Eurotrips,Іспанія,399,8,2,1,50,538,505,-139,-106,"-0,21",4,57,"0,5596","0,79",,"0,75",РІДКІСНИЙ,40,"1,13","0,50","0,63",9,4,5,3,"0,50","0,63","0,33","4,30","0,54",0,0
EUR-14,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,129,3,0,1,43,189,147,-60,-18,"-0,12",3,30,"0,7299","0,88",,"1,00",РІДКІСНИЙ,0,"0,67","0,67","0,33",2,2,1,0,"0,67","0,33","0,00","1,10","0,37",0,0
EUR-15,Краків Закопане Морське Око БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,99,3,0,1,33,189,147,-90,-48,"-0,33",1,0,"0,6687","0,67",,"1,00",ПІВРІЧНИЙ,0,"1,00","0,67","0,33",3,2,1,1,"0,67","0,33","0,33","1,30","0,43",0,0
EUR-16,Найкращі пляжі Європи,EUROTRIPS,Eurotrips,Франція,399,7,1,1,57,366,352,33,47,"0,13",46,202,"0,6188","0,87",,"0,86",СЕЗОННИЙ,20,"1,57","0,71","0,71",11,5,5,3,"0,71","0,71","0,27","4,60","0,66",1,0
EUR-17,Мілан — Комо — Альпи,EUROTRIPS,Eurotrips,Італія,219,6,2,4,37,340,338,-121,-119,"-0,35",16,80,"0,6382","0,65",,"0,67",ЦІЛИЙ РІК,40,"1,33","0,67","0,33",8,4,2,4,"0,67","0,33","0,50","3,00","0,50",0,0
EUR-18,Морська Італія (7 ночей на Лідо-ді-Єзоло),EUROTRIPS,Eurotrips,Італія,549,10,2,0,55,340,338,209,211,"0,63",98,410,"0,3578","0,37",,"0,80",СЕЗОННИЙ,40,"0,70","0,30","0,10",7,3,1,3,"0,30","0,10","0,43","2,00","0,20",0,0
EUR-19,Новий рік у Кракові БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,129,3,0,1,43,189,147,-60,-18,"-0,12",3,30,"0,7299","0,88",,"1,00",РІДКІСНИЙ,0,"0,67","0,67","0,33",2,2,1,0,"0,67","0,33","0,00","1,10","0,37",0,0
EUR-20,Новий рік у Мілані,EUROTRIPS,Eurotrips,Італія,229,5,2,2,46,340,338,-111,-109,"-0,32",22,90,"0,5777","0,68",,"0,60",РІДКІСНИЙ,40,"0,60","0,60","0,20",3,3,1,0,"0,60","0,20","0,00","1,40","0,28",0,0
EUR-21,Вікенд у Будапешті + Відень,EUROTRIPS,Eurotrips,Угорщина,109,4,1,1,27,162,159,-53,-50,"-0,32",3,20,"0,6282","0,68",,"0,75",ЦІЛИЙ РІК,20,"0,50","0,50","0,50",2,2,2,0,"0,50","0,50","0,00","1,60","0,40",0,0
EUR-22,Новий рік у Венеції БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Італія,309,5,0,3,62,340,338,-31,-29,"-0,09",46,170,"0,7598","0,91",,"1,00",РІДКІСНИЙ,0,"0,80","0,40","0,60",4,2,3,0,"0,40","0,60","0,00","2,10","0,42",0,0
EUR-23,Новий рік у Римі,EUROTRIPS,Eurotrips,Італія,329,6,2,1,55,340,338,-11,-9,"-0,03",50,190,"0,6311","0,97",,"0,67",РІДКІСНИЙ,40,"0,50","0,50","0,17",3,3,1,0,"0,50","0,17","0,00","1,40","0,23",0,0
EUR-24,Париж + Нормандія,EUROTRIPS,Eurotrips,Франція,389,7,2,3,56,366,352,23,37,"0,11",41,192,"0,6503","0,89",,"0,71",ЦІЛИЙ РІК,40,"0,71","0,43","0,57",5,3,4,1,"0,43","0,57","0,20","3,10","0,44",0,0
EUR-25,Мон-Сен-Мішель – Париж – Брюссель,EUROTRIPS,Eurotrips,Франція,449,9,2,6,50,366,352,83,97,"0,28",56,252,"0,6413","0,72",,"0,78",СЕЗОННИЙ,40,"1,33","1,00","0,56",12,9,5,1,"1,00","0,56","0,08","5,40","0,60",0,0
EUR-26,Південна Італія,EUROTRIPS,Eurotrips,Італія,394,8,2,3,49,340,338,54,56,"0,17",77,255,"0,6279","0,83",,"0,75",ПІВРІЧНИЙ,40,"1,38","0,88","0,25",11,7,2,1,"0,88","0,25","0,09","3,30","0,41",0,0
EUR-27,Пікнік в Альпах + Гальштат,EUROTRIPS,Eurotrips,Австрія,159,4,1,1,40,210,199,-51,-40,"-0,20",10,64,"0,6485","0,80",,"0,75",ПІВРІЧНИЙ,20,"0,75","0,75","0,50",3,3,2,0,"0,75","0,50","0,00","1,90","0,48",0,0
EUR-28,Прага-Відень-Будапешт,EUROTRIPS,Eurotrips,Чехія,199,4,1,4,50,204,199,-5,0,"0,00",11,104,"0,8585","1,00",,"0,75",ПІВРІЧНИЙ,20,"1,25","1,25","1,00",5,5,4,0,"1,25","1,00","0,00","3,50","0,88",0,0
EUR-29,Римські канікули,EUROTRIPS,Eurotrips,Італія,279,6,2,2,47,340,338,-61,-59,"-0,17",37,140,"0,6222","0,83",,"0,67",ПІВРІЧНИЙ,40,"0,67","0,67","0,33",4,4,2,0,"0,67","0,33","0,00","2,20","0,37",0,0
EUR-30,Різдвяний вікенд у Кракові БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,129,3,0,1,43,189,147,-60,-18,"-0,12",3,30,"0,7299","0,88",,"1,00",СЕЗОННИЙ,0,"0,67","0,67","0,33",2,2,1,0,"0,67","0,33","0,00","1,10","0,37",0,0
EUR-31,Скандинавія + Язик Троля,EUROTRIPS,Eurotrips,Норвегія,589,10,2,6,59,527,538,62,51,"0,09",8,204,"0,6819","0,91",,"0,80",СЕЗОННИЙ,40,"0,90","0,70","0,50",9,7,5,0,"0,70","0,50","0,00","4,60","0,46",0,0
EUR-32,Сонце Море Барселона,EUROTRIPS,Eurotrips,Іспанія,579,10,2,0,58,538,505,41,75,"0,15",15,237,"0,5428","0,85",,"0,80",ПІВРІЧНИЙ,40,"0,50","0,20","0,20",5,2,2,3,"0,20","0,20","0,60","2,20","0,22",0,0
EUR-33,Сонячна Греція: Simeon,EUROTRIPS,Eurotrips,Греція,594,10,2,0,59,420,407,174,188,"0,46",26,389,"0,4143","0,54",,"0,80",ЦІЛИЙ РІК,40,"0,90","0,30","0,30",9,3,3,1,"0,30","0,30","0,11","2,60","0,26",0,0
EUR-34,Сонячна Греція: Asteris Village,EUROTRIPS,Eurotrips,Греція,369,10,2,0,37,420,407,-51,-38,"-0,09",13,164,"0,6078","0,91",,"0,80",ЦІЛИЙ РІК,40,"0,90","0,30","0,30",9,3,3,1,"0,30","0,30","0,11","2,60","0,26",0,0
EUR-35,Стамбул,EUROTRIPS,Eurotrips,Туреччина,184,5,2,1,37,184,184,0,0,"0,00",1,0,"0,6849","1,00",,"0,60",ЦІЛИЙ РІК,40,"0,20","0,20","0,20",1,1,1,0,"0,20","0,20","0,00","0,80","0,16",0,1
EUR-36,Вікенд у Будапешті + Відень,EUROTRIPS,Eurotrips,Австрія,109,4,2,1,27,210,199,-101,-90,"-0,45",3,14,"0,5335","0,55",,"0,50",ЦІЛИЙ РІК,40,"0,50","0,50","0,50",2,2,2,0,"0,50","0,50","0,00","1,60","0,40",0,0
EUR-37,Хелловін у Трансильванії + Бухарест,EUROTRIPS,Eurotrips,Румунія,129,4,2,1,32,167,160,-38,-31,"-0,19",3,30,"0,6267","0,81",,"0,50",РІДКІСНИЙ,40,"1,25","0,50","0,25",5,2,1,3,"0,50","0,25","0,60","1,70","0,43",0,0
EUR-38,Чорногорія: де море торкається гір,EUROTRIPS,Eurotrips,Чорногорія,404,10,2,0,40,364,369,40,35,"0,09",9,153,"0,5996","0,91",,"0,80",ЦІЛИЙ РІК,40,"0,10","0,10","0,10",1,1,1,0,"0,10","0,10","0,00","0,80","0,08",0,1
EUR-39,Швейцарія,EUROTRIPS,Eurotrips,Швейцарія,244,6,1,4,41,333,334,-89,-90,"-0,27",4,56,"0,7030","0,73",,"0,83",ЦІЛИЙ РІК,20,"1,33","0,83","0,50",8,5,3,1,"0,83","0,50","0,13","3,20","0,53",0,0
ACC-1,Амурний тиждень в Амстердамі і Парижі!!!,COMPETITOR,Accord tour,Нідерланди,383,7,0,5,55,349,348,34,36,"0,10",22,188,"0,7903","0,90",,"1,00",ЦІЛИЙ РІК,0,"1,43","1,14","0,86",10,8,6,1,"1,14","0,86","0,10","5,60","0,80",0,0
ACC-2,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",COMPETITOR,Accord tour,Франція,493,10,3,7,49,366,352,127,141,"0,40",67,296,"0,5592","0,60",,"0,70",ЦІЛИЙ РІК,60,"1,50","1,10","0,80",15,11,8,2,"1,10","0,80","0,13","7,70","0,77",0,0
ACC-3,Мільйон посмішок... або 4 дні в Амстердамі!,COMPETITOR,Accord tour,Нідерланди,470,8,0,4,59,349,348,121,123,"0,35",30,275,"0,6391","0,65",,"1,00",ЦІЛИЙ РІК,0,"1,75","1,25","0,50",14,10,4,1,"1,25","0,50","0,07","5,20","0,65",1,0
ACC-4,"Вояж в Париж  Нормандія, Замки Луари + Люксембург",COMPETITOR,Accord tour,Франція,410,8,0,7,51,366,352,43,58,"0,16",49,212,"0,8052","0,84",,"1,00",ЦІЛИЙ РІК,0,"1,00","0,75","0,63",8,6,5,0,"0,75","0,63","0,00","4,30","0,54",0,0
ACC-5,"Париж, квіти..... і Компліменти!  Амстердам, Брюссель, Париж, Люксембург, Кельн",COMPETITOR,Accord tour,Франція,582,10,0,8,58,366,352,216,230,"0,65",70,385,"0,5799","0,35",,"1,00",ЦІЛИЙ РІК,0,"1,60","1,20","0,60",16,12,6,1,"1,20","0,60","0,06","6,80","0,68",1,0
ACC-6,Три дні в Парижі + Діснейленд,COMPETITOR,Accord tour,Франція,283,7,2,5,40,366,352,-83,-69,"-0,20",18,86,"0,7019","0,80",,"0,71",ЦІЛИЙ РІК,40,"1,29","0,86","0,57",9,6,4,1,"0,86","0,57","0,11","4,00","0,57",0,0
ACC-7,Амурні пригоди в Амстердамі і Парижі!!!,COMPETITOR,Accord tour,Нідерланди,377,7,0,5,54,349,348,28,30,"0,08",21,182,"0,7990","0,92",,"1,00",ЦІЛИЙ РІК,0,"1,29","1,00","0,86",9,7,6,1,"1,00","0,86","0,11","5,30","0,76",0,0
ACC-8,Амстердам та Париж... запалив та привабив...,COMPETITOR,Accord tour,Нідерланди,326,7,2,5,47,349,348,-23,-22,"-0,06",13,131,"0,7426","0,94",,"0,71",ЦІЛИЙ РІК,40,"1,43","0,86","0,86",10,6,6,2,"0,86","0,86","0,20","5,20","0,74",0,0
ACC-9,"Яскравий Бенілюкс: Нідерланди, Бельгія та Люксембург!",COMPETITOR,Accord tour,Бельгія,442,7,0,4,63,376,367,66,76,"0,21",4,113,"0,7030","0,79",,"1,00",ЦІЛИЙ РІК,0,"1,29","1,00","0,57",9,7,4,0,"1,00","0,57","0,00","4,10","0,59",0,0
ACC-10,"Французький Каприз   4 дні в Парижі + Нормандія, долина Луари, Мон-Сен-Мішель!",COMPETITOR,Accord tour,Франція,417,8,0,7,52,366,352,50,65,"0,18",50,219,"0,7955","0,82",,"1,00",ЦІЛИЙ РІК,0,"2,13","0,50","0,38",17,4,3,2,"0,50","0,38","0,12","3,10","0,39",1,0
ACC-11,"Вітаю, милий Амстердам!",COMPETITOR,Accord tour,Нідерланди,423,7,0,4,60,349,348,74,75,"0,22",25,228,"0,7048","0,78",,"1,00",ЦІЛИЙ РІК,0,"2,00","1,00","0,57",14,7,4,3,"1,00","0,57","0,21","4,70","0,67",1,0
ACC-12,"Бонжур Лямур або 3 дні в Парижі! ...Париж, Діснейленд та Люксембург...",COMPETITOR,Accord tour,Франція,374,7,0,5,53,366,352,8,22,"0,06",38,177,"0,8088","0,94",,"1,00",ЦІЛИЙ РІК,0,"1,57","0,71","0,57",11,5,4,1,"0,71","0,57","0,09","3,70","0,53",1,0
ACC-13,Любовне зізнання: Відень + Прага!,COMPETITOR,Accord tour,Чехія,245,5,0,2,49,204,199,41,46,"0,23",18,150,"0,6875","0,77",,"1,00",ЦІЛИЙ РІК,0,"0,80","0,80","0,60",4,4,3,0,"0,80","0,60","0,00","2,70","0,54",0,0
ACC-14,"Бонжорно, Італія + Швейцарія!",COMPETITOR,Accord tour,Італія,367,7,0,6,52,340,338,27,29,"0,09",69,228,"0,8305","0,91",,"1,00",ЦІЛИЙ РІК,0,"2,00","1,71","0,71",14,12,5,1,"1,71","0,71","0,07","6,30","0,90",1,0
ACC-15,"Дивовижний світ  4 дні в Швейцарії Женева, Берн, Люцерн + Монблан",COMPETITOR,Accord tour,Швейцарія,383,7,0,6,55,333,334,49,49,"0,15",21,195,"0,8011","0,85",,"1,00",ЦІЛИЙ РІК,0,"1,71","1,00","0,57",12,7,4,1,"1,00","0,57","0,08","4,30","0,61",1,0
ACC-16,Святкова Прага!!! Виїзд з Києва,COMPETITOR,Accord tour,Чехія,244,5,1,2,49,204,199,40,45,"0,23",17,149,"0,6500","0,77",,"0,80",ЦІЛИЙ РІК,20,"1,40","1,40","0,80",7,7,4,0,"1,40","0,80","0,00","4,10","0,82",0,0
ACC-17,Прикольними містами: Дрезден + Прага + Брно + Краків!!!,COMPETITOR,Accord tour,Чехія,199,4,0,3,50,204,199,-6,-1,"0,00",10,104,"0,8477","1,00",,"1,00",ЦІЛИЙ РІК,0,"1,75","1,25","0,75",7,5,3,0,"1,25","0,75","0,00","3,00","0,75",1,0
ACC-18,"Мюнхен і компанія: Краків, Прага, Відень!",COMPETITOR,Accord tour,Німеччина,244,4,0,3,61,238,237,6,7,"0,03",11,125,"0,8141","0,97",,"1,00",ЦІЛИЙ РІК,0,"1,25","1,00","1,00",5,4,4,1,"1,00","1,00","0,20","3,40","0,85",0,0
ACC-19,"Душевний Вікенд   Краків, Прага, Відень, Будапешт + Егер ",COMPETITOR,Accord tour,Австрія,164,4,0,2,41,210,199,-46,-36,"-0,18",12,69,"0,7452","0,82",,"1,00",ЦІЛИЙ РІК,0,"1,25","1,25","1,00",5,5,4,0,"1,25","1,00","0,00","3,50","0,88",0,0
ACC-20,"Відень, я вже їду!",COMPETITOR,Accord tour,Австрія,201,4,0,2,50,210,199,-9,2,"0,01",21,106,"0,7934","0,99",,"1,00",ЦІЛИЙ РІК,0,"1,25","1,00","0,25",5,4,1,0,"1,00","0,25","0,00","1,70","0,43",0,0
ACC-21,Французька для початківців  Париж+ Діснейленд,COMPETITOR,Accord tour,Франція,240,6,2,4,40,366,352,-126,-112,"-0,32",5,43,"0,6444","0,68",,"0,67",ЦІЛИЙ РІК,40,"1,83","1,50","0,67",11,9,4,0,"1,50","0,67","0,00","4,70","0,78",1,0
ACC-22,"Вікенд на трьох!  Краків, Відень, Будапешт",COMPETITOR,Accord tour,Польща,168,3,0,2,56,189,147,-21,21,"0,14",11,69,"0,7619","0,86",,"1,00",ЦІЛИЙ РІК,0,"1,33","1,33","1,00",4,4,3,0,"1,33","1,00","0,00","2,70","0,90",0,0
ACC-23,Секрети смаку: вся Швейцарія + Зальцбург та Відень!!!,COMPETITOR,Accord tour,Швейцарія,369,7,0,5,53,333,334,36,36,"0,11",19,181,"0,7927","0,89",,"1,00",ЦІЛИЙ РІК,0,"2,00","1,29","0,71",14,9,5,1,"1,29","0,71","0,07","5,40","0,77",1,0
ACC-24,"Альпійська симфонія   Цюрих, Женева, Берн + Монблан",COMPETITOR,Accord tour,Швейцарія,386,7,0,6,55,333,334,52,52,"0,16",23,198,"0,7967","0,84",,"1,00",ЦІЛИЙ РІК,0,"1,86","1,43","0,71",13,10,5,1,"1,43","0,71","0,08","5,70","0,81",1,0
ACC-25,"В гостях у Швейцарії   Цюрих, Женева, Берн + Монблан",COMPETITOR,Accord tour,Швейцарія,433,8,0,8,54,333,334,99,99,"0,30",26,245,"0,7709","0,70",,"1,00",ПІВРІЧНИЙ,0,"1,63","1,13","0,50",13,9,4,1,"1,13","0,50","0,08","4,90","0,61",1,0
ACC-26,Празький вогник!,COMPETITOR,Accord tour,Чехія,266,5,0,2,53,204,199,62,67,"0,34",20,171,"0,6368","0,66",,"1,00",ЦІЛИЙ РІК,0,"1,60","1,00","0,60",8,5,3,0,"1,00","0,60","0,00","3,00","0,60",1,0
ACC-27,Вікенд в Краків!,COMPETITOR,Accord tour,Польща,140,3,0,1,47,189,147,-49,-8,"-0,05",7,41,"0,7514","0,95",,"1,00",ЦІЛИЙ РІК,0,"1,67","0,67","0,33",5,2,1,0,"0,67","0,33","0,00","1,10","0,37",1,0
ACC-28,Барселона – Королева Півдня,COMPETITOR,Accord tour,Іспанія,374,8,2,7,47,538,505,-164,-131,"-0,26",2,32,"0,6961","0,74",,"0,75",ЦІЛИЙ РІК,40,"1,63","0,88","0,75",13,7,6,1,"0,88","0,75","0,08","5,30","0,66",1,0
ACC-29,Сонячний поцілунок Барселони,COMPETITOR,Accord tour,Іспанія,342,8,2,4,43,538,505,-196,-163,"-0,32",1,0,"0,6039","0,68",,"0,75",ЦІЛИЙ РІК,40,"1,38","1,00","0,88",11,8,7,1,"1,00","0,88","0,09","6,10","0,76",0,0
ACC-30,"Шедеври Франції  Етрета, Мон Сан Мішель, Замки Луари",COMPETITOR,Accord tour,Франція,441,8,0,7,55,366,352,75,89,"0,25",55,244,"0,7614","0,75",,"1,00",ЦІЛИЙ РІК,0,"1,75","1,00","0,38",14,8,3,1,"1,00","0,38","0,07","4,10","0,51",1,0
ACC-31,"Все, про що мрію, — це Париж! Je t'aime, mon cher Paris!",COMPETITOR,Accord tour,Франція,485,9,0,8,54,366,352,119,133,"0,38",65,288,"0,7167","0,62",,"1,00",ЦІЛИЙ РІК,0,"1,22","0,56","0,56",11,5,5,1,"0,56","0,56","0,09","4,20","0,47",0,0
ACC-32,Краківський Вояж!,COMPETITOR,Accord tour,Польща,123,2,0,1,62,189,147,-66,-24,"-0,16",2,24,"0,7092","0,84",,"1,00",ЦІЛИЙ РІК,0,"1,50","0,50","0,50",3,1,1,0,"0,50","0,50","0,00","0,80","0,40",0,0
ACC-33,Вікенд в Берліні!,COMPETITOR,Accord tour,Німеччина,149,4,2,1,37,238,237,-89,-88,"-0,37",2,30,"0,5452","0,63",,"0,50",ЦІЛИЙ РІК,40,"1,00","0,50","0,50",4,2,2,1,"0,50","0,50","0,25","1,80","0,45",0,0
ACC-34,Кастаньєти іспанського серця  3 дні в Барселоні,COMPETITOR,Accord tour,Іспанія,520,10,0,7,52,538,505,-18,16,"0,03",12,178,"0,8216","0,97",,"1,00",ЦІЛИЙ РІК,0,"1,50","1,10","0,90",15,11,9,0,"1,10","0,90","0,00","7,80","0,78",0,0
ACC-35,"Закохані в Париж Діснейленд, Нормандія + Страсбург...",COMPETITOR,Accord tour,Франція,243,6,2,5,40,366,352,-124,-110,"-0,31",6,45,"0,6798","0,69",,"0,67",ЦІЛИЙ РІК,40,"1,33","1,00","0,67",8,6,4,1,"1,00","0,67","0,13","4,00","0,67",0,0
ACC-36,Апельсиновий рай  відпочинок на морі Іспанії та Франції + Швейцарія!!!,COMPETITOR,Accord tour,Іспанія,459,9,2,7,51,538,505,-79,-46,"-0,09",9,117,"0,7354","0,91",,"0,78",ЦІЛИЙ РІК,40,"1,67","0,89","0,67",15,8,6,1,"0,89","0,67","0,07","5,60","0,62",1,0
ACC-37,Пристрасть по-іспанськи! Відпочинок на морі!,COMPETITOR,Accord tour,Іспанія,581,10,0,7,58,538,505,43,77,"0,15",16,239,"0,7608","0,85",,"1,00",ЦІЛИЙ РІК,0,"1,70","0,70","0,70",17,7,7,4,"0,70","0,70","0,24","6,40","0,64",1,0
ACC-38,"Романтичний Париж!   Страсбург, Кольмар, Нюрнберг",COMPETITOR,Accord tour,Франція,383,7,0,6,55,366,352,16,31,"0,09",40,185,"0,8253","0,91",,"1,00",ЦІЛИЙ РІК,0,"1,43","1,00","0,57",10,7,4,1,"1,00","0,57","0,10","4,30","0,61",0,0
ACC-39,"Атмосфера свята  Франція та Швейцарія  Париж, Цюріх, Люцерн",COMPETITOR,Accord tour,Франція,342,6,0,5,57,366,352,-25,-11,"-0,03",30,144,"0,8386","0,97",,"1,00",ЦІЛИЙ РІК,0,"1,50","1,00","0,83",9,6,5,0,"1,00","0,83","0,00","4,30","0,72",0,0
ACC-40,"Розкішна подорож  Франція та Швейцарія  Париж, Нормандія, Берн, Цюріх, Люцерн",COMPETITOR,Accord tour,Швейцарія,389,7,0,6,56,333,334,56,56,"0,17",24,201,"0,7915","0,83",,"1,00",ЦІЛИЙ РІК,0,"1,57","1,14","0,71",11,8,5,0,"1,14","0,71","0,00","4,90","0,70",1,0
