ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-22,"Вікенд на трьох!  Краків, Відень, Будапешт",Польща,"0,14","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-23,Секрети смаку: вся Швейцарія + Зальцбург та Відень!!!,Швейцарія,"0,11","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-24,"Альпійська симфонія   Цюрих, Женева, Берн + Монблан",Швейцарія,"0,16","0,80",COMPETITOR,,"0,80",,,,,,,
ACC-25,"В гостях у Швейцарії   Цюрих, Женева, Берн + Монблан",Швейцарія,"0,30","0,77",COMPETITOR,,"0,77",,,,,,,
ACC-26,Празький вогник!,Чехія,"0,34","0,64",COMPETITOR,,"0,64",,,,,,,
ACC-27,Вікенд в Краків!,Польща,"-0,05","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-28,Барселона – Королева Півдня,Іспанія,"-0,26","0,70",COMPETITOR,,"0,70",,,,,,,
ACC-29,Сонячний поцілунок Барселони,Іспанія,"-0,32","0,60",COMPETITOR,,"0,60",,,,,,,
ACC-30,"Шедеври Франції  Етрета, Мон Сан Мішель, Замки Луари",Франція,"0,25","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-31,"Все, про що мрію, — це Париж! Je t'aime, mon cher Paris!",Франція,"0,38","0,72",COMPETITOR,,"0,72",,,,,,,
ACC-32,Краківський Вояж!,Польща,"-0,16","0,71",COMPETITOR,,"0,71",,,,,,,
ACC-33,Вікенд в Берліні!,Німеччина,"-0,37","0,55",COMPETITOR,,"0,55",,,,,,,
ACC-34,Кастаньєти іспанського серця  3 дні в Барселоні,Іспанія,"0,03","0,82",COMPETITOR,,"0,82",,,,,,,
ACC-35,"Закохані в Париж Діснейленд, Нормандія + Страсбург...",Франція,"-0,31","0,68",COMPETITOR,,"0,68",,,,,,,
