ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ITR-28,Європейська відпустка у Europa Park,Австрія,"0,70","0,56",COMPETITOR,,"0,56",,,,,,,
ITR-29,Берлінський експресс,Німеччина,"-0,50","0,51",COMPETITOR,,"0,51",,,,,,,
ITR-30,Лазурний шик: 2 дні на Рив’єрі,Італія,"-0,03","0,73",COMPETITOR,,"0,73",,,,,,,
ITR-31,"Кава та круасан: Відень, Париж, Зальцбург",Франція,"-0,29","0,62",COMPETITOR,,"0,62",,,,,,,
ITR-32,"Європейські канікули – Прага, Париж, Берлін",Франція,"-0,38","0,63",COMPETITOR,,"0,63",,,,,,,
ITR-33,Італійська симфонія: Венеція + Доломітові Альпи,Італія,"-0,37","0,63",COMPETITOR,,"0,63",,,,,,,
ITR-34,Канікули у Данії: Legoland,Німеччина,"0,13","0,71",COMPETITOR,,"0,71",,,,,,,
ITR-35,Паризька мрія – 3 дні в Парижі!,Франція,"-0,24","0,63",COMPETITOR,,"0,63",,,,,,,
ITR-36,"Смак Франції: Париж, Нормандія, Ельзас",Франція,"-0,09","0,73",COMPETITOR,,"0,73",,,,,,,
ITR-37,МЕГАтур до Чорногорії,Болгарія,"0,11","0,63",COMPETITOR,,"0,63",,,,,,,
ITR-38,Джульєтта і гондоли,Італія,"-0,59","0,46",COMPETITOR,,"0,46",,,,,,,
ITR-39,"Тисячі лайків: Венеція, Рим, Піза Флоренція",Італія,"-0,29","0,63",COMPETITOR,,"0,63",,,,,,,
ITR-40,На вікенд до двох сестер: Латвія-Литва,Литва,"0,00","0,74",COMPETITOR,,"0,74",,,,,,,
ITR-41,Балтійські пригоди,Литва,"0,09","0,73",COMPETITOR,,"0,73",,,,,,,
ITR-42,"Балтійські Скарби + круїз до Стокгольму : Таллін, Стокгольм, Рига",Швеція,"0,04","0,67",COMPETITOR,,"0,67",,,,,,,
ITR-43,"Європейська розкіш – Ніцца, Монако, Портофіно…",Італія,"-0,35","0,64",COMPETITOR,,"0,64",,,,,,,
ITR-44,Чудовий мікс - Чорногорія+Албанія з відпочинком на морі,Чорногорія,"0,11","0,59",COMPETITOR,,"0,59",,,,,,,
ITR-45,Румунський експрес,Румунія,"-0,03","0,77",COMPETITOR,,"0,77",,,,,,,
ITR-46,"Їж.Люби.Подорожуй: Любляна, Венеція, Рим 2 дні, Флоренція",Італія,"0,02","0,77",COMPETITOR,,"0,77",,,,,,,
ITR-47,Релакс у Чехії та Угорщині,Австрія,"-0,15","0,67",COMPETITOR,,"0,67",,,,,,,
ITR-48,Зеленими берегами Корфу,Греція,"0,32","0,49",COMPETITOR,,"0,49",,,,,,,
ITR-49,Містична Трансільванія та Трансфагараш,Румунія,"0,25","0,58",COMPETITOR,,"0,58",,,,,,,
ITR-50,Казки старої Німеччини,Німеччина,"0,43","0,60",COMPETITOR,,"0,60",,,,,,,
ITR-51,Лавандове серце Франції – Валансоль + Лазурове узбережжя,Франція,"-0,07","0,71",COMPETITOR,,"0,71",,,,,,,
ITR-52,Доломітові Альпи – мандрівка серед величі вершин,Італія,"0,03","0,80",COMPETITOR,,"0,80",,,,,,,
ITR-53,На зустріч до Афродіти,Греція,"0,80","0,25",COMPETITOR,,"0,25",,,,,,,
ITR-54,Халкідіки. Ідеальна грецька відпустка,Греція,"0,36","0,46",COMPETITOR,,"0,46",,,,,,,
RIC-1,Дивовижна Хорватія,Хорватія,"-0,25","0,60",COMPETITOR,,"0,60",,,,,,,
RIC-2,ПІВДЕНЬ ІТАЛІЇ - ТІРРЕНСЬКЕ МОРЕ,Італія,"0,43","0,45",COMPETITOR,,"0,45",,,,,,,
RIC-3,Сонячні пляжі Ріміні - Італія,Італія,"0,29","0,52",COMPETITOR,,"0,52",,,,,,,
RIC-4,МОРЕ ГРЕЦІЇ,Греція,"0,17","0,55",COMPETITOR,,"0,55",,,,,,,
RIC-5,Подих Адріатики – Чорногорія,Чорногорія,"0,04","0,63",COMPETITOR,,"0,63",,,,,,,
RIC-6,Під небом ПАРИЖУ + Прага і Дрезден,Франція,"0,25","0,60",COMPETITOR,,"0,60",,,,,,,
RIC-7,В гостях у Нідерландської корони,Нідерланди,"0,26","0,65",COMPETITOR,,"0,65",,,,,,,
RIC-8,Мрія блогерів: Венеція + Альпи,Італія,"0,06","0,67",COMPETITOR,,"0,67",,,,,,,
RIC-9,Від Провансу до Швейцарських вершин,Швейцарія,"0,15","0,72",COMPETITOR,,"0,72",,,,,,,
RIC-10,Скандинавська сага,Польща,"3,66","-0,89",COMPETITOR,,"-0,89",,,,,,,
TAN-1,Відень та Прага - імперії королів,Австрія,"-0,52","0,51",COMPETITOR,,"0,51",,,,,,,
TAN-2,"Театр вражень - Венеція, Верона та Мілан!",Італія,"-0,50","0,53",COMPETITOR,,"0,53",,,,,,,
TAN-3,Будапешт - мій найкращий вікенд! ,Угорщина,"-0,31","0,59",COMPETITOR,,"0,59",,,,,,,
TAN-4,Ключ в Європу : Будапешт + Відень,Австрія,"-0,42","0,59",COMPETITOR,,"0,59",,,,,,,
TAN-5,Прага та Дрезден #нашілюдивсюди,Чехія,"-0,52","0,51",COMPETITOR,,"0,51",,,,,,,
TAN-6,"Quattro Formaggi. Венеція, Флоренція і Рим",Італія,"-0,44","0,51",COMPETITOR,,"0,51",,,,,,,
TAN-7,Відень неперевершений!,Австрія,"-0,16","0,62",COMPETITOR,,"0,62",,,,,,,
TAN-8,Мої голландські тюльпанчики,Нідерланди,"-0,44","0,50",COMPETITOR,,"0,50",,,,,,,
TAN-9,"L'amour en trois: ти, я і Париж!",Франція,"-0,24","0,63",COMPETITOR,,"0,63",,,,,,,
TAN-10,Румунія - любов з першого погляду. Бухарест і замки,Румунія,"-0,09","0,71",COMPETITOR,,"0,71",,,,,,,
TAN-11,"Стихія моря: Таллінн, Стокгольм, Рига",Швеція,"-0,43","0,52",COMPETITOR,,"0,52",,,,,,,
TAN-12,Магія Балтійського моря. Круїз Таллінн-Стокгольм,Швеція,"-0,18","0,67",COMPETITOR,,"0,67",,,,,,,
TAN-13,Нідерланди. I♥Аmsterdam,Нідерланди,"-0,24","0,60",COMPETITOR,,"0,60",,,,,,,
TAN-14,"50 відтінків літа! Італія, Адріатичне море",Італія,"-0,26","0,56",COMPETITOR,,"0,56",,,,,,,
TAN-15,Подорож у серце Трансільванії,Румунія,"-0,25","0,61",COMPETITOR,,"0,61",,,,,,,
TAN-16,"Північний круїз: Таллінн, Гельсінкі, Стокгольм",Швеція,"-0,04","0,64",COMPETITOR,,"0,64",,,,,,,
TAN-17,Містичний вікенд в Трансильванії,Румунія,"0,00","0,69",COMPETITOR,,"0,69",,,,,,,
TAN-18,Мелодії Парижа,Франція,"-0,27","0,59",COMPETITOR,,"0,59",,,,,,,
TAN-19,"Ідеальна четвірка: Краків, Прага, Відень, Будапешт",,,,,,,,,,,,,
TAN-20,"Загадка Австрії: Відень, Зальцбург, Гальштат",,,,,,,,,,,,,
TAN-21,Австрійські панорами: Відень та Гальштат,,,,,,,,,,,,,
TAN-22,"Край Тоскани - Флоренція, Піза, Рим",,,,,,,,,,,,,
TAN-23,Вікенд для душі: Угорщина + Словаччина,,,,,,,,,,,,,
TAN-24,У пошуках дива - Македонія!,,,,,,,,,,,,,
TAN-25,"Тільки Італія: Венеція, Мілан, Рим, Неаполь та Флоренція",,,,,,,,,,,,,
TAN-26,"Альпійський експрес: Венеція, Цюрих, Зальцбург",,,,,,,,,,,,,
TAN-27,Париж на десерт,,,,,,,,,,,,,
TAN-28,"Каталонський експрес: Монако, Ніцца, Барселона",,,,,,,,,,,,,
TAN-29,Вихідні у Кракові + Енерджіландія,,,,,,,,,,,,,
TAN-30,Незвіданий край - Боснія і Герцеґовина,,,,,,,,,,,,,
TAN-31,"В цьому році в моді лазурний:  Ніцца, Монако, Портофіно",,,,,,,,,,,,,
TAN-32,Албанія - морська пригода,,,,,,,,,,,,,
TAN-33,Словенія - альпійські термали,,,,,,,,,,,,,
TAN-34,"Литовські вихідні: Вільнюс, Тракай, Друскінінкай",,,,,,,,,,,,,
TAN-35,Зірки півночі: Рига та Норвезькі фіорди!,,,,,,,,,,,,,
TAN-36,Греція. Між небом та землею,,,,,,,,,,,,,
TAN-37,Карнавальна мандрівка,,,,,,,,,,,,,
TAN-38,"Нові горизонти: Таллінн, Стокгольм, Копенгаген, Амстердам",,,,,,,,,,,,,
TAN-39,Зимові розваги - Закопане!,,,,,,,,,,,,,
TAN-40,Скандинавія. Вся правда про Вікінгів,,,,,,,,,,,,,
TAN-41,Мої швейцарські вихідні,,,,,,,,,,,,,
TAN-42,Випускний в Греції,,,,,,,,,,,,,
TAN-43,Халкідіки. Вихідні на морі,,,,,,,,,,,,,
TRM-1,"Французький вояж (Париж, Мон-Сен-Мішель + 3 дні з океаном)",,,,,,,,,,,,,
TRM-2,Формула краси по-італійськи,,,,,,,,,,,,,
TRM-3,Париж - місто мрії!,,,,,,,,,,,,,
TRM-4,Весна на острові Майнау,,,,,,,,,,,,,
TRM-5,Формула краси + три узбережжя Італії,,,,,,,,,,,,,
TRM-6,Вічне літо Сицилії,,,,,,,,,,,,,
TRM-7,Альпійська мелодія!+ Лазурове узбережжя Франції,,,,,,,,,,,,,
TRM-8,"Зимова казка: Закопане, Відень, терми",,,,,,,,,,,,,
TRM-9,"Легкість Амстердама, романтика Парижа + парк тюльпанів Койкенхоф",,,,,,,,,,,,,
TRM-10,Белла Італія,,,,,,,,,,,,,
TRM-11,Італія - моє натхнення + Венеційський Карнавал,,,,,,,,,,,,,
TRM-12,Тур на VI етап Кубка світу 2024/25 з біатлону в Італії (Антгольц-Антерсельва),,,,,,,,,,,,,
TRM-13,Белла Італія + два Карнавали,,,,,,,,,,,,,
