stop_clean,stop_type,total_tours,eurotrips_tours,competitor_tours,total_occurrences,avg_value_score,avg_price,add_score,trim_score,recommendation,priority
Лазурне узбережжя,3,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Лазурний берег,9,1,1,1,1,0,1,0,"0,175",TRIM,LOW
Левен,5,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Лейден,8,4,1,4,4,1,0,"1,225","-1,05",ADD,HIGH
Лігурійське узбережжя,4,2,1,1,2,0,1,0,"0,175",TRIM,LOW
Лідо ді Езоло,11,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Лідо ді Єзоло,2,6,3,3,6,0,1,0,"0,175",TRIM,LOW
Ліньяно,2,8,1,8,8,0,0,"2,45","-2,275",ADD,HIGH
Лісабон,7,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Ліхтенштейн,3,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Ллорет де Мар,10,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Лозанна,6,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Лувр,4,3,1,3,3,0,1,"0,7","-0,525",ADD,MEDIUM
Лугано,9,7,1,7,7,1,0,"2,275","-2,1",ADD,HIGH
Лутра Арідея,4,9,1,9,9,0,0,"2,8","-2,625",ADD,HIGH
Люблін,1,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Любляна,2,21,1,20,22,1,0,"6,825","-6,65",ADD,HIGH
Люксембург,6,16,1,16,16,0,0,"5,25","-5,075",ADD,HIGH
Люцерн,3,38,1,37,38,1,0,"12,775","-12,6",ADD,HIGH
Маастріхт,11,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Мадрид,5,3,1,3,3,1,0,"0,875","-0,7",ADD,HIGH
Майні,5,4,1,4,4,0,0,"1,05","-0,875",ADD,HIGH
Мало,12,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Мальме,2,6,1,5,6,1,0,"1,575","-1,4",ADD,HIGH
Марино,16,9,1,9,9,0,0,"2,8","-2,625",ADD,HIGH
метеори,4,16,2,14,16,0,1,"4,2","-4,025",ADD,HIGH
Метеори,4,16,2,14,16,0,1,"4,2","-4,025",ADD,HIGH
Мехелен,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Мец,9,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Мис Суніон,12,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Мікени,9,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Мілан,2,33,3,30,33,1,0,"9,625","-9,45",ADD,HIGH
Мішель,12,6,1,6,6,0,0,"1,75","-1,575",ADD,HIGH
Мон,10,6,1,6,6,0,0,"1,75","-1,575",ADD,HIGH
Мон Сан Мішель,8,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Мон-Сен-Мішель,8,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Монако,7,36,2,34,36,0,0,"11,2","-11,025",ADD,HIGH
Монблан,9,6,1,6,6,0,1,"1,75","-1,575",ADD,HIGH
Монпельє,4,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Монсеррат,7,5,1,5,5,0,1,"1,4","-1,225",ADD,HIGH
Монте Карло,14,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Монтре,7,4,1,4,4,0,0,"1,05","-0,875",ADD,HIGH
Моравський Крас,7,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Морське Око,3,1,1,1,1,0,1,0,"0,175",TRIM,LOW
Музей Далі,9,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Мурано,3,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Мюнхен,3,25,1,25,25,1,0,"8,575","-8,4",ADD,HIGH
Нафпліон,10,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Неаполь,3,15,1,14,17,1,0,"4,725","-4,55",ADD,HIGH
Ніцца,6,39,3,36,39,1,0,"11,725","-11,55",ADD,HIGH
Нойшванштайн,3,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Нормандія,3,17,2,15,17,0,1,"4,55","-4,375",ADD,HIGH
Нюрнберг,7,29,1,29,29,1,0,"9,975","-9,8",ADD,HIGH
О. Мурано,5,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
О.Майнау,4,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Обідуш,9,3,1,3,3,1,0,"0,875","-0,7",ADD,HIGH
Оз. Блед,13,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Оз. Гарда,3,7,1,7,7,0,0,"2,1","-1,925",ADD,HIGH
Оз. Комо,11,8,1,8,8,0,0,"2,45","-2,275",ADD,HIGH
Оз.Гарда,17,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
озеро Блед,3,2,1,1,2,0,1,0,"0,175",TRIM,LOW
Озеро Блед,3,2,1,1,2,0,1,0,"0,175",TRIM,LOW
Озеро Браес,7,1,1,1,1,0,0,0,"0,175",TRIM,LOW
озеро Браєс,5,2,2,1,2,0,1,"-0,35","0,525",TRIM,LOW
Озеро Вуліагмені,13,1,1,1,1,0,0,0,"0,175",TRIM,LOW
озеро Гарда,10,11,4,7,11,0,1,"1,05","-0,875",ADD,HIGH
Озеро Гарда,10,11,4,7,11,0,1,"1,05","-0,875",ADD,HIGH
озеро Комо,4,5,1,4,5,0,1,"1,05","-0,875",ADD,HIGH
Озеро Мізуріна,8,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Озеро Мольвено,5,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
олімп,6,12,2,10,12,0,0,"2,8","-2,625",ADD,HIGH
Олімп,6,12,2,10,12,0,0,"2,8","-2,625",ADD,HIGH
Онфлер,7,9,1,9,9,0,0,"2,8","-2,625",ADD,HIGH
Орлеан,7,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Орлине Гніздо,3,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Освенцим,5,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Осло,7,9,1,8,9,1,0,"2,625","-2,45",ADD,HIGH
острів,10,1,1,1,1,0,0,0,"0,175",TRIM,LOW
острів Капрі,8,1,1,1,1,0,1,0,"0,175",TRIM,LOW
Париж,2,68,2,66,68,1,0,"22,575","-22,4",ADD,HIGH
Париж 5 днів,4,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Парк «Діснейленд»,7,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Парк Діснейленд,6,2,1,2,2,0,1,"0,35","-0,175",ADD,LOW
Парк Ефтелінг,5,3,1,3,3,0,1,"0,7","-0,525",ADD,MEDIUM
Парк Кекенхоф,4,4,1,4,4,0,1,"1,05","-0,875",ADD,HIGH
Парк Мадуродам,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
"Парк розваг ""Energy land""",3,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Парк розваг Гардаленд,5,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Парк розваг Energy land,3,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Пелопоннес,8,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Перемишль,11,4,1,4,4,1,0,"1,225","-1,05",ADD,HIGH
Перуджа,13,7,1,7,7,1,0,"2,275","-2,1",ADD,HIGH
Песк'єра-дель-Гарда,8,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Піза,11,27,1,27,27,1,0,"9,275","-9,1",ADD,HIGH
Польща,1,4,4,1,4,0,0,"-1,05","1,225",TRIM,LOW
Помпеї,4,8,1,7,8,0,0,"2,1","-1,925",ADD,HIGH
Попрад,3,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Порт Авентура,5,1,1,1,1,0,1,0,"0,175",TRIM,LOW
Портофіно,5,10,1,9,10,0,0,"2,8","-2,625",ADD,HIGH
Порту,8,3,1,3,3,1,0,"0,875","-0,7",ADD,HIGH
Потсдам,2,9,1,9,9,0,0,"2,8","-2,625",ADD,HIGH
Прага,8,125,7,118,132,1,0,"39,025","-38,85",ADD,HIGH
Прешов,8,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Рейнский водоспад,5,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Рейнський водоспад,7,9,1,8,9,0,1,"2,45","-2,275",ADD,HIGH
Рига,2,15,2,13,15,1,0,"4,025","-3,85",ADD,HIGH
Рим,2,37,3,34,37,1,0,"11,025","-10,85",ADD,HIGH
Ріміні,14,6,1,6,6,1,0,"1,925","-1,75",ADD,HIGH
Ротенбург,2,5,1,5,5,0,0,"1,4","-1,225",ADD,HIGH
Роттердам,8,9,1,9,9,1,0,"2,975","-2,8",ADD,HIGH
Руан,9,30,1,29,30,1,0,"9,975","-9,8",ADD,HIGH
Саарбрюккен,4,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Сабб'ядоро,3,6,1,6,6,0,0,"1,75","-1,575",ADD,HIGH
Саксонска Швейцарія,3,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Саксонська Швейцарія,4,5,1,4,5,0,1,"1,05","-0,875",ADD,HIGH
Саксонську Швейцарію,7,1,1,1,1,0,0,0,"0,175",TRIM,LOW
салоніки,3,29,2,27,29,1,0,"8,925","-8,75",ADD,HIGH
Салоніки,3,29,2,27,29,1,0,"8,925","-8,75",ADD,HIGH
Сан,9,17,1,17,21,0,0,"5,6","-5,425",ADD,HIGH
Сен,11,8,1,8,9,0,0,"2,45","-2,275",ADD,HIGH
Сен Мало,10,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Сен-Мало,7,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Сен-Тропе,9,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Сентендре,5,10,1,9,10,1,0,"2,975","-2,8",ADD,HIGH
Сієна,5,5,1,5,5,1,0,"1,575","-1,4",ADD,HIGH
Сінтра,13,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Скелі Етрета,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
скіафос,8,3,2,1,3,0,0,"-0,35","0,525",TRIM,LOW
Скоп'є,1,10,1,10,11,1,0,"3,325","-3,15",ADD,HIGH
Словенія,1,2,2,1,2,0,0,"-0,35","0,525",TRIM,LOW
Сорренто,10,5,1,5,5,0,0,"1,4","-1,225",ADD,HIGH
Стамбул,1,6,1,5,6,1,0,"1,575","-1,4",ADD,HIGH
Стокгольм,4,16,2,14,17,1,0,"4,375","-4,2",ADD,HIGH
Страсбург,4,24,1,24,24,1,0,"8,225","-8,05",ADD,HIGH
Таллінн,3,8,1,7,9,1,0,"2,275","-2,1",ADD,HIGH
Тарнув,2,5,1,5,8,1,0,"1,575","-1,4",ADD,HIGH
Татранська Ломниця,4,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Тіволі,12,5,1,5,5,0,0,"1,4","-1,225",ADD,HIGH
Толедо,6,3,1,3,3,0,0,"0,7","-0,525",ADD,MEDIUM
Трансильванія,3,4,2,2,4,0,1,0,"0,175",TRIM,LOW
Трансфагараш,2,1,1,1,1,0,1,0,"0,175",TRIM,LOW
Тренто,4,12,1,12,12,0,0,"3,85","-3,675",ADD,HIGH
Трир,9,4,1,4,4,0,0,"1,05","-0,875",ADD,HIGH
Трієст,2,21,1,21,21,1,0,"7,175",-7,ADD,HIGH
Трір,9,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
узбережжя егейського моря,5,3,2,1,3,0,0,"-0,35","0,525",TRIM,LOW
Узбережжя Іспанії,7,4,1,4,4,0,1,"1,05","-0,875",ADD,HIGH
Фатіма,12,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Фігерас,5,6,1,6,6,1,0,"1,925","-1,75",ADD,HIGH
Флом,5,8,1,7,8,0,0,"2,1","-1,925",ADD,HIGH
Флоренція,7,35,1,34,35,1,0,"11,725","-11,55",ADD,HIGH
Фонтенбло,14,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Франкфурт,3,6,1,6,6,0,0,"1,75","-1,575",ADD,HIGH
Франкфурт-на-Майні,2,3,1,3,3,1,0,"0,875","-0,7",ADD,HIGH
Халкідіки,9,2,2,1,2,0,0,"-0,35","0,525",TRIM,LOW
Цюрих,4,23,1,23,23,1,0,"7,875","-7,7",ADD,HIGH
Цюріх,2,15,1,14,15,0,0,"4,55","-4,375",ADD,HIGH
Чеський Крумлов,5,6,1,6,6,1,0,"1,925","-1,75",ADD,HIGH
Чехія,1,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Шамбері,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Швейцарська Рів'єра,4,2,1,2,2,0,0,"0,35","-0,175",ADD,LOW
Язик Троля,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Ярослав,1,3,1,3,4,0,0,"0,7","-0,525",ADD,MEDIUM
Ясна,6,1,1,1,1,0,0,0,"0,175",TRIM,LOW
Tropical Islands Resort,3,1,1,1,1,0,1,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
,,0,1,1,0,0,0,0,"0,175",TRIM,LOW
