ID ТУРУ,НАЗВА ТУРУ,КІЛЬКІСТЬ ЗУПИНОК ПО МАРШРУТУ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,ДНІ,ІНТЕНСИВНІСТЬ ПОДОРОЖІ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК,ЦІННІСТЬ МАРШРУТУ,ЕФЕКТИВНІСТЬ МАРШРУТУ,ПЕРЕВАНТАЖЕНИЙ МАРШРУТ,ПОРОЖНІЙ МАРШРУТ
ADR-20,Веселі канікули: 3 дні в Парижі + Нормандія та Діснейленд!  ,12,7,4,0,7,"1,00","0,00","0,57","0,00","4,10","0,59",1,0
ADR-21,Румунія запрошує! Бухарест + замки Трансільванії  ,2,2,1,0,4,"0,50","0,00","0,25","0,00","1,10","0,28",0,0
ADR-22,Блискучий вікенд: Дрезден - Прага - Відень - Будапешт  ,8,7,5,0,5,"1,40","0,00","1,00","0,00","4,60","0,92",1,0
ADR-23,Кращі з кращих: Відень-Зальцбург-Мюнхен  ,4,4,3,0,4,"1,00","0,00","0,75","0,00","2,70","0,68",0,0
ADR-24,Який чудовий цей Краків  ,3,2,1,0,3,"0,67","0,00","0,33","0,00","1,10","0,37",0,0
ADR-25,Приємний вікенд: Краків-Прага-Відень-Будапешт  ,5,5,4,0,4,"1,25","0,00","1,00","0,00","3,50","0,88",0,0
ADR-26,Париж - це пристрасть! Париж - це свято!»,14,9,4,0,7,"1,29","0,00","0,57","0,00","4,70","0,67",1,0
ADR-27,"Відпустка класу ""Люкс"" - країни БеНіЛюкс!  ",9,6,6,0,6,"1,00","0,00","1,00","0,00","4,80","0,80",0,0
ADR-28,Наш чудовий вікенд: Краків-Дрезден-Прага  ,6,6,3,0,4,"1,50","0,00","0,75","0,00","3,30","0,83",0,0
ADR-29,"Від краю до краю: Париж, Амстердам, Нормандія… ",15,10,6,0,7,"1,43","0,00","0,86","0,00","6,00","0,86",1,0
ADR-30,"Французький колорит: Париж, Страсбург та Діснейленд!  ",13,7,5,0,6,"1,17","0,00","0,83","0,00","4,60","0,77",1,0
ADR-31,"Vive La France! Мон-Сен-Мішель, Луара та Нормандія! ",13,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",1,0
ADR-32,Гарно так: Париж + Цюрих! ,12,6,5,0,6,"1,00","0,00","0,83","0,00","4,30","0,72",1,0
ADR-33,"Швейцарія для тебе... Гріндельвальд, Швейцарська Рів'єра, гора Пілатус + гора Монблан!  ",11,9,5,0,6,"1,50","0,00","0,83","0,00","5,20","0,87",1,0
ADR-34,Вікенд в Швейцарію + Зальцбург та Прага! ,6,5,4,0,4,"1,25","0,00","1,00","0,00","3,50","0,88",0,0
ADR-35,Побачення на двох - Венеція і Верона… ,4,4,2,0,4,"1,00","0,00","0,50","0,00","2,20","0,55",0,0
ADR-36,"Смак Тоскани: Флоренція, Сієна та Сан-Джиміньяно  ",16,6,3,0,7,"0,86","0,00","0,43","0,00","3,30","0,47",1,0
ADR-37,Прекрасна - як мадонна! Донна Барселона!  ,10,8,6,0,8,"1,00","0,00","0,75","0,00","5,40","0,68",0,0
ADR-38,Австрійський вікенд: Відень - Зальцбург - Прага  ,4,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ADR-39,Міста для поцілунків: Відень-Венеція-Верона  ,6,5,4,0,5,"1,00","0,00","0,80","0,00","3,50","0,70",0,0
ADR-40,Незабутня відпустка в Німеччині  ,5,2,2,0,6,"0,33","0,00","0,33","0,00","1,60","0,27",0,0
ADR-41,Доломітові Альпи Італії: Відпочинок на вершині небес  ,6,2,2,0,6,"0,33","0,00","0,33","0,00","1,60","0,27",0,0
ADR-42,"Краса без фільтрів: Зальцбург, Гальштат та озерний край Зальцкаммергут ",6,4,3,0,5,"0,80","0,00","0,60","0,00","2,70","0,54",0,0
ADR-43,Париж та Амстердам збирає друзів!  ,12,7,6,0,7,"1,00","0,00","0,86","0,00","5,10","0,73",1,0
ADR-44,Італія моя любов... Венеція-Мілан-Верона  ,5,5,2,0,5,"1,00","0,00","0,40","0,00","2,50","0,50",0,0
ADR-45,"Від Альп до пальм: 3 дні в Барселоні + Зальцбург, Цюрих ",9,7,7,0,9,"0,78","0,00","0,78","0,00","5,60","0,62",0,0
ADR-46,Незабутні моменти в Доломітових Альпах  ,7,4,3,0,7,"0,57","0,00","0,43","0,00","2,70","0,39",0,0
ADR-47,"Альпійська розкіш: Словенія, Італія та Австрія  ",8,5,3,0,5,"1,00","0,00","0,60","0,00","3,00","0,60",1,0
ADR-48,Привіт Париж! (3 дні в Парижі + Нормандія та Діснейленд ,13,8,6,0,7,"1,14","0,00","0,86","0,00","5,40","0,77",1,0
ADR-49,Подаруй собі Amsterdam  ,13,11,5,0,7,"1,57","0,00","0,71","0,00","5,80","0,83",1,0
ADR-50,Селфі в Амстердамі ,10,8,4,0,6,"1,33","0,00","0,67","0,00","4,40","0,73",1,0
ADR-51,Слідами вікінгів: Стокгольм + Осло  ,9,8,6,0,7,"1,14","0,00","0,86","0,00","5,40","0,77",0,0
ADR-52,"Ах, мій милий Амстердам… ",10,8,3,0,6,"1,33","0,00","0,50","0,00","3,90","0,65",1,0
ADR-53,Романтика Адріатики: Хорватія та Чорногорія  ,12,7,3,0,7,"1,00","0,00","0,43","0,00","3,60","0,51",1,0
ADR-54,"Подорож Балканами: Хорватія, Чорногорія, Албанія, Македонія та Боснія і Герцеговина  ",15,7,5,0,9,"0,78","0,00","0,56","0,00","4,60","0,51",1,0
ADR-55,"Ми в Ніццу, в Ніццу з вітерцем  ",18,8,5,0,8,"1,00","0,00","0,63","0,00","4,90","0,61",1,0
ADR-56,Лазурна перлина - Ніцца  ,20,8,5,0,9,"0,89","0,00","0,56","0,00","4,90","0,54",1,0
ADR-57,Тіроль - серце Альп ,8,5,3,0,6,"0,83","0,00","0,50","0,00","3,00","0,50",0,0
